Surfactant Film	
Wavelength(nm),Absorption
1786,0.002743
1787,0.0027286
1788,0.0027569
1789,0.0027701
1790,0.0026939
1791,0.0026834
1792,0.0026961
1793,0.0027437
1794,0.0027505
1795,0.0027336
1796,0.0027394
1797,0.0027367
1798,0.0026978
1799,0.0026896
1800,0.0027605
1801,0.0027331
1802,0.0027186
1803,0.0026564
1804,0.0026978
1805,0.0027233
1806,0.0027548
1807,0.0027454
1808,0.0027162
1809,0.0027094
1810,0.0027269
1811,0.0027607
1812,0.002783
1813,0.0027257
1814,0.0026846
1815,0.0026696
1816,0.0027142
1817,0.002717
1818,0.0027015
1819,0.0026894
1820,0.0026715
1821,0.0026724
1822,0.0027257
1823,0.0027298
1824,0.0026944
1825,0.0026232
1826,0.0026779
1827,0.002688
1828,0.0027546
1829,0.0027939
1830,0.0027647
1831,0.0027022
1832,0.002676
1833,0.0027305
1834,0.0027226
1835,0.0026988
1836,0.0026644
1837,0.0026409
1838,0.0026976
1839,0.0027311
1840,0.0027345
1841,0.002768
1842,0.0028023
1843,0.0027901
1844,0.0027987
1845,0.0028059
1846,0.0028061
1847,0.0028097
1848,0.0027753
1849,0.0027833
1850,0.0028555
1851,0.0028595
1852,0.0027938
1853,0.0027587
1854,0.0027751
1855,0.0027699
1856,0.0027597
1857,0.0027863
1858,0.0027531
1859,0.0026789
1860,0.0026783
1861,0.0027209
1862,0.0027746
1863,0.0027855
1864,0.0027468
1865,0.0027001
1866,0.0026692
1867,0.0026862
1868,0.0027055
1869,0.0026894
1870,0.0026255
1871,0.0026523
1872,0.0026697
1873,0.0027149
1874,0.0027456
1875,0.0027424
1876,0.0027441
1877,0.0027456
1878,0.0027988
1879,0.0026682
1880,0.0026813
1881,0.0027445
1882,0.0026868
1883,0.0026635
1884,0.0027202
1885,0.002779
1886,0.002774
1887,0.0027286
1888,0.0027126
1889,0.0027463
1890,0.0027517
1891,0.0026817
1892,0.002704
1893,0.0026444
1894,0.0026343
1895,0.0026838
1896,0.0026969
1897,0.0026588
1898,0.0026277
1899,0.0026169
1900,0.0026651
1901,0.0025732
1902,0.002574
1903,0.0026156
1904,0.0025935
1905,0.0025717
1906,0.00261
1907,0.002667
1908,0.0026806
1909,0.0026493
1910,0.0026306
1911,0.0026947
1912,0.0026782
1913,0.0026531
1914,0.0026509
