SurfactantFilm,,SurfactantSolution,
Wavelength(nm),Absorption,Wavelength(nm),Absorption
1070,0.0068383,1070,0.21702
1071,0.0068514,1071,0.2163
1072,0.0068444,1072,0.21573
1073,0.0068445,1073,0.21541
1074,0.0068507,1074,0.21521
1075,0.0068692,1075,0.21515
1076,0.0068078,1076,0.21532
1077,0.0068129,1077,0.21568
1078,0.0067807,1078,0.21621
1079,0.0067764,1079,0.21681
1080,0.0068165,1080,0.21771
1081,0.0068625,1081,0.21887
1082,0.0068917,1082,0.22013
1083,0.0068854,1083,0.2216
1084,0.0068457,1084,0.22341
1085,0.0068353,1085,0.2252
1086,0.0068969,1086,0.22748
1087,0.0068703,1087,0.23002
1088,0.0068829,1088,0.23275
1089,0.0068646,1089,0.23583
1090,0.0069034,1090,0.2394
1091,0.0069024,1091,0.2431
1092,0.0069172,1092,0.24739
1093,0.0069277,1093,0.25224
1094,0.0069213,1094,0.25749
1095,0.0069359,1095,0.26314
1096,0.0069501,1096,0.26932
1097,0.0069627,1097,0.27614
1098,0.0070074,1098,0.28331
1099,0.007059,1099,0.29112
1100,0.0070429,1100,0.30001
1101,0.0070288,1101,0.30858
1102,0.0070911,1102,0.31824
1103,0.0071685,1103,0.32829
1104,0.0071752,1104,0.33821
1105,0.0071559,1105,0.34894
1106,0.0072019,1106,0.36012
1107,0.0072842,1107,0.37116
1108,0.0073596,1108,0.38162
1109,0.0073339,1109,0.39225
1110,0.0074166,1110,0.40203
1111,0.0074493,1111,0.41115
1112,0.0074885,1112,0.42014
1113,0.0075283,1113,0.42806
1114,0.0076144,1114,0.43505
1115,0.0076892,1115,0.44146
1116,0.0077415,1116,0.44717
1117,0.0078137,1117,0.45179
1118,0.0078656,1118,0.456
1119,0.0079318,1119,0.45945
1120,0.0079676,1120,0.46183
1121,0.008087,1121,0.46357
1122,0.0081663,1122,0.46446
1123,0.0082259,1123,0.46447
1124,0.0083189,1124,0.46345
1125,0.008428,1125,0.46146
1126,0.0084965,1126,0.45872
1127,0.0085569,1127,0.45521
1128,0.0086415,1128,0.45078
1129,0.0086824,1129,0.4461
1130,0.0087769,1130,0.44104
1131,0.0088135,1131,0.43544
1132,0.0089157,1132,0.43008
1133,0.0089906,1133,0.42457
1134,0.0090794,1134,0.41908
1135,0.0091762,1135,0.41355
1136,0.0092648,1136,0.40841
1137,0.0093002,1137,0.40326
1138,0.0093297,1138,0.39812
1139,0.0094162,1139,0.3935
1140,0.0094861,1140,0.38862
1141,0.0095341,1141,0.38387
1142,0.0096058,1142,0.37941
1143,0.0097017,1143,0.37469
1144,0.0097958,1144,0.37014
1145,0.0097993,1145,0.36578
1146,0.0098369,1146,0.36153
1147,0.0099316,1147,0.35743
1148,0.0099778,1148,0.35384
1149,0.0099708,1149,0.35036
1150,0.010009,1150,0.34708
1151,0.010091,1151,0.34448
1152,0.01015,1152,0.34204
1153,0.010113,1153,0.34
1154,0.010157,1154,0.33849
1155,0.010163,1155,0.33734
1156,0.010169,1156,0.33656
1157,0.01019,1157,0.33627
1158,0.010194,1158,0.33633
1159,0.010201,1159,0.33683
1160,0.010238,1160,0.33761
1161,0.010262,1161,0.33885
